start;end;soc;länge
1;22;1200,00;22
25;46;1200,00;22
49;70;1200,00;22
73;94;1200,00;22
97;118;1200,00;22
121;142;1200,00;22
145;166;1200,00;22
169;190;1200,00;22
193;214;1200,00;22
217;238;1200,00;22
241;262;1200,00;22
265;286;1200,00;22
289;310;1200,00;22
313;334;1200,00;22
337;358;1200,00;22
361;391;1200,00;31
405;414;3540,00;12
420;441;3472,58;22
444;465;3472,58;22
468;480;3472,58;13
484;505;3454,92;22
508;529;3454,92;22
532;553;3454,92;22
556;577;3454,92;22
580;601;3454,92;22
604;625;3454,92;22
628;649;3454,92;22
652;673;3454,92;22
676;697;3454,92;22
700;721;3454,92;22
724;745;3454,92;22
748;769;3454,92;22
772;793;3454,92;22
796;817;3454,92;22
820;841;3454,92;22
844;865;3454,92;22
868;889;3454,92;22
892;913;3454,92;22
916;937;3454,92;22
940;961;3454,92;22
964;985;3454,92;22
988;1009;3454,92;22
1012;1033;3454,92;22
1036;1064;3454,92;29
1067;1085;3540,00;21
1098;1119;3223,21;22
1122;1143;3223,21;22
1146;1167;3223,21;22
1170;1185;3223,21;16
1198;1219;3210,65;22
1222;1243;3210,65;22
1246;1267;3210,65;22
1270;1291;3210,65;22
1294;1315;3210,65;22
1318;1339;3210,65;22
1342;1363;3210,65;22
1366;1387;3210,65;22
1390;1411;3210,65;22
1414;1439;3210,65;26
1442;1453;3209,38;14
1456;1477;3190,30;22
1480;1501;3190,30;22
1504;1525;3190,30;22
1528;1549;3190,30;22
1552;1573;3190,30;22
1576;1597;3190,30;22
1600;1621;3190,30;22
1624;1645;3190,30;22
1648;1669;3190,30;22
1672;1693;3190,30;22
1696;1717;3190,30;22
1720;1737;3190,30;18
1741;1758;3540,00;20
1765;1786;3484,66;22
1789;1810;3484,66;22
1813;1834;3484,66;22
1837;1855;3484,66;19
1865;1886;3482,18;22
1889;1910;3482,18;22
1913;1933;3482,18;21
1936;1953;3540,00;20
1961;1982;3406,18;22
1985;2006;3406,18;22
2009;2029;3406,18;21
2032;2048;3540,00;19
2056;2077;3510,07;22
2080;2101;3510,07;22
2104;2120;3510,07;17
2123;2141;3540,00;21
2158;2179;3192,38;22
2182;2203;3192,38;22
2206;2227;3192,38;22
2230;2251;3192,38;22
2254;2275;3192,38;22
2278;2299;3192,38;22
2302;2323;3192,38;22
2326;2347;3192,38;22
2350;2371;3192,38;22
2374;2395;3192,38;22
2398;2419;3192,38;22
2422;2432;3192,38;11
2437;2458;3168,61;22
2461;2482;3168,61;22
2485;2506;3168,61;22
2509;2527;3168,61;19
2531;2552;3149,78;22
2555;2576;3149,78;22
2579;2590;3149,78;12
2595;2625;3012,12;31
2628;2649;3003,81;22
2652;2665;3003,81;14
2671;2685;3540,00;17
2692;2713;3492,99;22
2716;2737;3492,99;22
2740;2761;3492,99;22
2764;2785;3492,99;22
2788;2809;3492,99;22
2812;2833;3492,99;22
2836;2857;3492,99;22
2860;2881;3492,99;22
2884;2905;3492,99;22
2908;2929;3492,99;22
2932;2953;3492,99;22
2956;2977;3492,99;22
2980;3001;3492,99;22
3004;3025;3492,99;22
3028;3049;3492,99;22
3052;3073;3492,99;22
3076;3097;3492,99;22
3100;3121;3492,99;22
3124;3152;3492,99;29
3155;3173;3540,00;21
3179;3200;3479,25;22
3203;3224;3479,25;22
3227;3240;3479,25;14
3243;3261;3540,00;21
3268;3289;3483,07;22
3292;3313;3483,07;22
3316;3335;3483,07;20
3338;3355;3540,00;20
3372;3392;3442,32;23
3395;3416;3431,72;22
3419;3440;3431,72;22
3443;3453;3431,72;11
3458;3490;3388,26;33
3493;3514;3370,55;22
3517;3538;3370,55;22
3541;3562;3370,55;22
3565;3586;3370,55;22
3589;3610;3370,55;22
3613;3634;3370,55;22
3637;3658;3370,55;22
3661;3682;3370,55;22
3685;3706;3370,55;22
3709;3730;3370,55;22
3733;3753;3370,55;21
3756;3774;3540,00;21
3782;3803;3277,49;22
3806;3827;3277,49;22
3830;3851;3277,49;22
3854;3875;3277,49;22
3878;3899;3277,49;22
3902;3923;3277,49;22
3926;3947;3277,49;22
3950;3968;3277,49;19
3972;3993;3271,30;22
3996;4017;3271,30;22
4020;4050;3271,30;31
4054;4063;3540,00;12
4079;4108;3466,89;30
4112;4129;3540,00;20
4139;4166;3484,46;28
4169;4190;3479,93;22
4193;4214;3479,93;22
4217;4238;3479,93;22
4241;4262;3479,93;22
4265;4286;3479,93;22
4289;4310;3479,93;22
4313;4334;3479,93;22
4337;4358;3479,93;22
4361;4382;3479,93;22
4385;4406;3479,93;22
4409;4422;3479,93;14
4425;4443;3540,00;21
4457;4478;3346,64;22
4481;4502;3346,64;22
4505;4526;3346,64;22
4529;4544;3346,64;16
4549;4570;3290,75;22
4573;4603;3290,75;31
4618;4629;3540,00;14
4644;4665;3276,62;22
4668;4680;3276,62;13
4684;4701;3540,00;20
4707;4728;3434,04;22
4731;4752;3434,04;22
4755;4780;3434,04;26
4784;4801;3540,00;20
4817;4834;3501,85;20
4837;4858;3491,09;22
4861;4882;3491,09;22
4885;4906;3491,09;22
4909;4930;3491,09;22
4933;4954;3491,09;22
4957;4978;3491,09;22
4981;5002;3491,09;22
5005;5026;3491,09;22
5029;5050;3491,09;22
5053;5074;3491,09;22
5077;5098;3491,09;22
5101;5122;3491,09;22
5125;5146;3491,09;22
5149;5170;3491,09;22
5173;5194;3491,09;22
5197;5218;3491,09;22
5221;5242;3491,09;22
5245;5266;3491,09;22
5269;5290;3491,09;22
5293;5314;3491,09;22
5323;5344;3485,68;22
5347;5378;3485,68;32
5381;5390;3480,61;12
5393;5411;3540,00;21
5426;5447;3284,92;24
5451;5468;3540,00;20
5479;5500;3232,76;22
5503;5524;3232,76;22
5527;5548;3232,76;22
5551;5572;3232,76;22
5575;5596;3232,76;22
5599;5620;3232,76;22
5623;5644;3232,76;22
5647;5668;3232,76;22
5671;5692;3232,76;22
5695;5716;3232,76;22
5719;5740;3232,76;22
5743;5764;3232,76;22
5767;5788;3232,76;22
5791;5812;3232,76;22
5815;5836;3232,76;22
5839;5860;3232,76;22
5863;5884;3232,76;22
5887;5908;3232,76;22
5911;5932;3232,76;22
5935;5956;3232,76;22
5959;5980;3232,76;22
5983;6004;3232,76;22
6007;6028;3232,76;22
6031;6045;3232,76;15
6059;6072;3540,00;16
6082;6103;3381,00;22
6106;6117;3381,00;12
6121;6138;3540,00;20
6160;6173;3540,00;16
6180;6201;3383,16;22
6204;6225;3383,16;22
6228;6249;3383,16;22
6252;6273;3383,16;22
6276;6297;3383,16;22
6300;6321;3383,16;22
6324;6345;3383,16;22
6348;6369;3383,16;22
6372;6393;3383,16;22
6396;6417;3383,16;22
6420;6436;3383,16;17
6440;6457;3540,00;20
6469;6501;3305,13;33
6506;6522;3540,00;19
6534;6556;3214,35;23
6561;6582;3163,51;22
6585;6606;3163,51;22
6609;6629;3163,51;21
6636;6650;3540,00;17
6658;6679;3384,10;22
6682;6696;3384,10;15
6703;6717;3540,00;17
6727;6744;3540,00;20
6752;6773;3363,04;22
6776;6793;3363,04;18
6797;6814;3540,00;20
