strategie_id;zeitraum_id;strategie_typ;start_index;end_index;länge_stunden;basis_soc;max_soc_erreicht;min_soc_erreicht;gesamte_lademenge;gesamte_entlademenge;profit_euro
254;464;Einfach;13561;13589;7.25;3270.85;3410.46;200.0;3210.4775;3210.4525;258.76
204;383;Einfach;9816;9837;5.5;3486.73;3531.18;200.0;3331.1825;3331.1925;230.26
209;394;Einfach;10195;10218;6.0;2917.66;2917.67;461.25;2456.4024999999997;2456.405;211.8
454;693;Aggressiv;23933;23963;7.75;3308.63;3799.59;200.0;3599.61;3599.575;194.94
459;707;Einfach;24602;24623;5.5;3117.24;3117.24;206.46;2910.7775;2910.775;190.61
255;464;Aggressiv;13561;13589;7.25;3270.85;3270.79;1092.21;2178.645;2178.6375;185.02
453;693;Einfach;23933;23963;7.75;3308.63;3308.62;220.06;3088.565;3088.5775;183.06
171;350;Einfach;8470;8491;5.5;3318.67;3318.68;800.28;2518.395;2518.405;169.88
401;636;Einfach;21715;21736;5.5;3527.76;3527.78;698.62;2829.1425;2829.15;162.93
428;664;Aggressiv;22873;22894;5.5;2886.23;2886.24;439.75;2446.495;2446.48;161.87
461;707;Entlade-Lade;24602;24623;5.5;3117.24;3117.25;705.95;2411.29;2411.2975;156.46
427;664;Einfach;22873;22894;5.5;2886.23;2886.22;200.0;2686.2225;2686.2325;154.27
460;707;Aggressiv;24602;24623;5.5;3117.24;3378.08;200.0;3178.0875;3178.0775;153.94
205;383;Aggressiv;9816;9837;5.5;3486.73;3486.73;1662.33;1824.3925;1824.405;149.21
146;314;Einfach;7618;7639;5.5;3412.48;3412.49;200.0;3212.475;3212.4725;148.4
455;693;Entlade-Lade;23933;23963;7.75;3308.63;3308.57;1027.31;2281.3275;2281.3275;139.24
562;816;Aggressiv;27964;27990;6.75;2741.41;3083.74;200.0;2883.7325;2883.7525;138.75
466;717;Einfach;24889;24910;5.5;3493.42;3693.01;200.0;3493.0025;3493.0025;138.25
561;816;Einfach;27964;27990;6.75;2741.41;2741.41;203.59;2537.805;2537.825;137.45
159;342;Einfach;8278;8299;5.5;3318.67;3318.66;200.0;3118.6625;3118.6725;137.13
107;231;Einfach;5599;5620;5.5;3232.76;3232.76;289.78;2942.9925;2942.985;131.0
168;346;Einfach;8374;8395;5.5;3318.67;3348.58;200.0;3148.575;3148.5924999999997;130.14
563;816;Entlade-Lade;27964;27990;6.75;2741.41;2741.43;413.07;2328.335;2328.34;124.9
522;773;Aggressiv;26718;26746;7.25;3443.91;3735.66;200.0;3535.6549999999997;3535.6475;124.11
467;717;Aggressiv;24889;24910;5.5;3493.42;3493.4;1197.9;2295.5175;2295.5150000000003;123.88
409;640;Einfach;21815;21833;4.75;1991.88;2042.87;234.68;1808.1875;1808.1675;123.37
464;713;Einfach;24786;24814;7.25;3336.37;3455.86;200.0;3255.8675;3255.8575;122.07
108;231;Aggressiv;5599;5620;5.5;3232.76;3445.69;200.0;3245.675;3245.6825000000003;119.47
402;636;Aggressiv;21715;21736;5.5;3527.76;3629.52;200.0;3429.5125;3429.5225;119.41
491;741;Einfach;25845;25873;7.25;3147.72;3189.44;1120.67;2068.7775;2068.765;117.87
172;350;Aggressiv;8470;8491;5.5;3318.67;3492.42;200.0;3292.43;3292.42;117.69
521;773;Einfach;26718;26746;7.25;3443.91;3443.92;255.89;3188.025;3188.025;114.37
465;713;Aggressiv;24786;24814;7.25;3336.37;3336.37;1018.65;2317.7425000000003;2317.7125;113.2
173;350;Entlade-Lade;8470;8491;5.5;3318.67;3318.69;1864.26;1454.3975;1454.4050000000002;112.24
525;780;Einfach;26896;26923;7.0;3172.01;3690.28;200.0;3638.6125;3638.6275;104.94
539;790;Aggressiv;27197;27218;5.5;3405.48;3755.8;367.69;3388.1175000000003;3388.1150000000002;104.47
403;636;Entlade-Lade;21715;21736;5.5;3527.76;3527.78;1845.39;1682.3825;1682.3674999999998;104.36
601;862;Einfach;29405;29426;5.5;3326.0;3325.99;219.41;3106.5925;3106.5924999999997;103.89
123;259;Einfach;6276;6297;5.5;3383.16;3383.18;200.0;3183.1775000000002;3183.1549999999997;99.97
118;235;Aggressiv;5695;5716;5.5;3232.76;3565.59;200.05;3365.54;3365.5425;98.84
371;596;Einfach;19616;19636;5.25;1970.83;1970.84;201.18;1769.6599999999999;1769.6475;95.72
313;526;Aggressiv;15965;15977;3.25;2034.74;2034.74;200.0;1834.7325;1834.7250000000001;95.06
160;342;Aggressiv;8278;8299;5.5;3318.67;3318.67;1517.45;1801.225;1801.22;93.2
602;862;Aggressiv;29405;29426;5.5;3326.0;3659.47;200.0;3459.4625;3459.46;92.58
312;526;Einfach;15965;15977;3.25;2034.74;2034.74;202.34;1832.4075;1832.4;92.41
372;596;Aggressiv;19616;19636;5.25;1970.83;1970.85;305.06;1665.7775;1665.77;92.4
134;286;Einfach;6947;6968;5.5;3509.55;3509.58;1760.59;1748.9475;1748.9475;91.13
94;204;Einfach;4933;4954;5.5;3491.09;3500.44;200.0;3300.4525000000003;3300.4425;90.42
117;235;Einfach;5695;5716;5.5;3232.76;3232.76;1000.77;2231.99;2231.9925;88.77
169;346;Aggressiv;8374;8395;5.5;3318.67;3318.68;1646.26;1672.4275;1672.42;87.87
498;747;Einfach;26020;26049;7.5;523.07;3235.43;274.12;2961.32;2961.32;86.69
314;526;Entlade-Lade;15965;15977;3.25;2034.74;2034.74;684.88;1349.8700000000001;1349.8674999999998;86.18
410;640;Aggressiv;21815;21833;4.75;1991.88;1991.88;813.25;1178.6399999999999;1178.625;84.26
623;899;Einfach;30363;30386;6.0;3443.75;3443.75;215.69;3228.045;3228.055;83.48
147;314;Aggressiv;7618;7639;5.5;3412.48;3412.47;1759.99;1652.495;1652.4975;82.74
538;790;Einfach;27197;27218;5.5;3405.48;3543.2;1461.63;2081.575;2081.5875;82.48
109;231;Entlade-Lade;5599;5620;5.5;3232.76;3232.76;1426.53;1806.2475;1806.23;82.47
523;773;Entlade-Lade;26718;26746;7.25;3443.91;3443.92;1312.92;2131.0;2130.9875;82.36
229;428;Einfach;11931;11956;6.5;1118.56;1118.53;207.72;910.84;910.8399999999999;81.9
74;150;Einfach;3589;3610;5.5;3370.55;3453.37;200.0;3253.3725;3253.38;81.47
617;887;Einfach;30073;30102;7.5;3261.83;3261.83;217.1;3044.7225;3044.7275;81.16
621;895;Einfach;30271;30292;5.5;3457.9;3518.83;220.11;3298.7175;3298.715;79.44
175;352;Einfach;8518;8539;5.5;3318.67;3798.8;200.76;3598.035;3598.04;79.02
156;318;Aggressiv;7714;7735;5.5;3412.48;3782.3;211.04;3571.2575;3571.2625;77.05
97;206;Aggressiv;4981;5002;5.5;3491.09;3603.57;200.05;3403.52;3403.5475;75.73
125;261;Einfach;6324;6345;5.5;3383.16;3383.18;938.11;2445.06;2445.0375;74.4
206;391;Einfach;10116;10140;6.25;3255.26;3255.28;711.75;2543.4975;2543.5125;74.24
528;786;Einfach;27089;27114;6.5;3142.1;3142.1;521.35;2713.9674999999997;2713.9625;73.79
